# session_id,valid|invalid,reason
M2_00001,invalid,action after LOGOUT
M2_00002,valid,normal LOGIN->VIEW->LOGOUT session
M2_00003,invalid,missing LOGOUT
M2_00004,valid,normal LOGIN->VIEW->LOGOUT session
M2_00005,valid,normal LOGIN->VIEW->LOGOUT session
M2_00006,valid,normal LOGIN->VIEW->LOGOUT session
M2_00007,valid,normal LOGIN->VIEW->LOGOUT session
M2_00008,valid,normal LOGIN->VIEW->LOGOUT session
M2_00009,valid,normal LOGIN->VIEW->LOGOUT session
M2_00010,valid,normal LOGIN->VIEW->LOGOUT session
M2_00011,valid,normal LOGIN->VIEW->LOGOUT session
M2_00012,invalid,missing LOGOUT
M2_00013,valid,normal LOGIN->VIEW->LOGOUT session
M2_00014,invalid,action after LOGOUT
M2_00015,valid,normal LOGIN->VIEW->LOGOUT session
M2_00016,valid,normal LOGIN->VIEW->LOGOUT session
M2_00017,valid,normal LOGIN->VIEW->LOGOUT session
M2_00018,valid,normal LOGIN->VIEW->LOGOUT session
M2_00019,valid,normal LOGIN->VIEW->LOGOUT session
M2_00020,valid,normal LOGIN->VIEW->LOGOUT session
M2_00021,valid,normal LOGIN->VIEW->LOGOUT session
M2_00022,invalid,missing LOGIN
M2_00023,valid,normal LOGIN->VIEW->LOGOUT session
M2_00024,valid,normal LOGIN->VIEW->LOGOUT session
M2_00025,valid,normal LOGIN->VIEW->LOGOUT session
M2_00026,invalid,missing LOGIN
M2_00027,invalid,missing LOGOUT
M2_00028,valid,normal LOGIN->VIEW->LOGOUT session
M2_00029,invalid,action after LOGOUT
M2_00030,valid,normal LOGIN->VIEW->LOGOUT session
M2_00031,valid,normal LOGIN->VIEW->LOGOUT session
M2_00032,valid,normal LOGIN->VIEW->LOGOUT session
M2_00033,invalid,missing LOGOUT
M2_00034,invalid,missing LOGIN
M2_00035,valid,normal LOGIN->VIEW->LOGOUT session
M2_00036,invalid,action after LOGOUT
M2_00037,valid,normal LOGIN->VIEW->LOGOUT session
M2_00038,invalid,missing LOGOUT
M2_00039,invalid,action after LOGOUT
M2_00040,valid,normal LOGIN->VIEW->LOGOUT session
M2_00041,invalid,action after LOGOUT
M2_00042,invalid,missing LOGIN
M2_00043,invalid,missing LOGOUT
M2_00044,valid,normal LOGIN->VIEW->LOGOUT session
M2_00045,invalid,missing LOGOUT
M2_00046,invalid,missing LOGOUT
M2_00047,invalid,missing LOGIN
M2_00048,invalid,missing LOGIN
M2_00049,valid,normal LOGIN->VIEW->LOGOUT session
M2_00050,valid,normal LOGIN->VIEW->LOGOUT session
M2_00051,valid,normal LOGIN->VIEW->LOGOUT session
M2_00052,invalid,missing LOGIN
M2_00053,valid,normal LOGIN->VIEW->LOGOUT session
M2_00054,valid,normal LOGIN->VIEW->LOGOUT session
M2_00055,valid,normal LOGIN->VIEW->LOGOUT session
M2_00056,valid,normal LOGIN->VIEW->LOGOUT session
M2_00057,valid,normal LOGIN->VIEW->LOGOUT session
M2_00058,valid,normal LOGIN->VIEW->LOGOUT session
M2_00059,valid,normal LOGIN->VIEW->LOGOUT session
M2_00060,invalid,missing LOGOUT
M2_00061,invalid,missing LOGOUT
M2_00062,invalid,missing LOGIN
M2_00063,invalid,missing LOGIN
M2_00064,invalid,action after LOGOUT
M2_00065,valid,normal LOGIN->VIEW->LOGOUT session
M2_00066,valid,normal LOGIN->VIEW->LOGOUT session
M2_00067,valid,normal LOGIN->VIEW->LOGOUT session
M2_00068,valid,normal LOGIN->VIEW->LOGOUT session
M2_00069,valid,normal LOGIN->VIEW->LOGOUT session
M2_00070,valid,normal LOGIN->VIEW->LOGOUT session
M2_00071,valid,normal LOGIN->VIEW->LOGOUT session
M2_00072,valid,normal LOGIN->VIEW->LOGOUT session
M2_00073,valid,normal LOGIN->VIEW->LOGOUT session
M2_00074,valid,normal LOGIN->VIEW->LOGOUT session
M2_00075,valid,normal LOGIN->VIEW->LOGOUT session
M2_00076,valid,normal LOGIN->VIEW->LOGOUT session
M2_00077,invalid,missing LOGIN
M2_00078,valid,normal LOGIN->VIEW->LOGOUT session
M2_00079,invalid,missing LOGOUT
M2_00080,valid,normal LOGIN->VIEW->LOGOUT session
M2_00081,valid,normal LOGIN->VIEW->LOGOUT session
M2_00082,valid,normal LOGIN->VIEW->LOGOUT session
M2_00083,valid,normal LOGIN->VIEW->LOGOUT session
M2_00084,valid,normal LOGIN->VIEW->LOGOUT session
M2_00085,valid,normal LOGIN->VIEW->LOGOUT session
M2_00086,invalid,action after LOGOUT
M2_00087,invalid,action after LOGOUT
M2_00088,valid,normal LOGIN->VIEW->LOGOUT session
M2_00089,valid,normal LOGIN->VIEW->LOGOUT session
M2_00090,valid,normal LOGIN->VIEW->LOGOUT session
M2_00091,valid,normal LOGIN->VIEW->LOGOUT session
M2_00092,valid,normal LOGIN->VIEW->LOGOUT session
M2_00093,valid,normal LOGIN->VIEW->LOGOUT session
M2_00094,valid,normal LOGIN->VIEW->LOGOUT session
M2_00095,valid,normal LOGIN->VIEW->LOGOUT session
M2_00096,invalid,missing LOGIN
M2_00097,invalid,missing LOGIN
M2_00098,invalid,action after LOGOUT
M2_00099,invalid,missing LOGOUT
M2_00100,valid,normal LOGIN->VIEW->LOGOUT session
M2_00101,valid,normal LOGIN->VIEW->LOGOUT session
M2_00102,valid,normal LOGIN->VIEW->LOGOUT session
M2_00103,valid,normal LOGIN->VIEW->LOGOUT session
M2_00104,valid,normal LOGIN->VIEW->LOGOUT session
M2_00105,valid,normal LOGIN->VIEW->LOGOUT session
M2_00106,valid,normal LOGIN->VIEW->LOGOUT session
M2_00107,valid,normal LOGIN->VIEW->LOGOUT session
M2_00108,valid,normal LOGIN->VIEW->LOGOUT session
